state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
Iowa,IA,Adair,19001,Republican,Ted Cruz,104,0.256
Iowa,IA,Adair,19001,Republican,Donald Trump,104,0.256
Iowa,IA,Adair,19001,Republican,Marco Rubio,80,0.19699999999999998
Iowa,IA,Adair,19001,Republican,Ben Carson,61,0.15
Iowa,IA,Adair,19001,Republican,Carly Fiorina,16,0.039
Iowa,IA,Adair,19001,Republican,Rand Paul,12,0.028999999999999998
Iowa,IA,Adair,19001,Republican,Mike Huckabee,11,0.027000000000000003
Iowa,IA,Adair,19001,Republican,Rick Santorum,7,0.017
Iowa,IA,Adair,19001,Republican,Jeb Bush,4,0.01
Iowa,IA,Adair,19001,Republican,Chris Christie,4,0.01
Iowa,IA,Adair,19001,Republican,John Kasich,2,0.005
Iowa,IA,Adair,19001,Democrat,Hillary Clinton,168,0.56
Iowa,IA,Adair,19001,Democrat,Bernie Sanders,132,0.44
Iowa,IA,Adair,19001,Democrat,Martin O'Malley,0,0.0
Iowa,IA,Adair,19001,Democrat, Uncommitted,0,0.0
Iowa,IA,Adams,19003,Republican,Ted Cruz,81,0.297
Iowa,IA,Adams,19003,Republican,Donald Trump,68,0.249
Iowa,IA,Adams,19003,Republican,Marco Rubio,47,0.172
Iowa,IA,Adams,19003,Republican,Ben Carson,30,0.11
Iowa,IA,Adams,19003,Republican,Carly Fiorina,16,0.059000000000000004
Iowa,IA,Adams,19003,Republican,John Kasich,10,0.037000000000000005
Iowa,IA,Adams,19003,Republican,Rand Paul,8,0.028999999999999998
Iowa,IA,Adams,19003,Republican,Jeb Bush,7,0.026000000000000002
Iowa,IA,Adams,19003,Republican,Mike Huckabee,3,0.011000000000000001
Iowa,IA,Adams,19003,Republican,Chris Christie,1,0.004
Iowa,IA,Adams,19003,Republican,Rick Santorum,1,0.004
Iowa,IA,Adams,19003,Democrat,Hillary Clinton,113,0.568
Iowa,IA,Adams,19003,Democrat,Bernie Sanders,86,0.43200000000000005
Iowa,IA,Adams,19003,Democrat,Martin O'Malley,0,0.0
Iowa,IA,Adams,19003,Democrat, Uncommitted,0,0.0
Iowa,IA,Allamakee,19005,Republican,Ted Cruz,183,0.266
Iowa,IA,Allamakee,19005,Republican,Donald Trump,193,0.281
Iowa,IA,Allamakee,19005,Republican,Marco Rubio,131,0.191
Iowa,IA,Allamakee,19005,Republican,Ben Carson,77,0.11199999999999999
Iowa,IA,Allamakee,19005,Republican,Carly Fiorina,54,0.079
Iowa,IA,Allamakee,19005,Republican,Rand Paul,16,0.023
Iowa,IA,Allamakee,19005,Republican,Jeb Bush,11,0.016
Iowa,IA,Allamakee,19005,Republican,Mike Huckabee,9,0.013000000000000001
Iowa,IA,Allamakee,19005,Republican,Rick Santorum,6,0.009000000000000001
Iowa,IA,Allamakee,19005,Republican,Chris Christie,4,0.006
Iowa,IA,Allamakee,19005,Republican,John Kasich,2,0.003
Iowa,IA,Allamakee,19005,Democrat,Hillary Clinton,304,0.507
Iowa,IA,Allamakee,19005,Democrat,Bernie Sanders,296,0.493
Iowa,IA,Allamakee,19005,Democrat,Martin O'Malley,0,0.0
Iowa,IA,Allamakee,19005,Democrat, Uncommitted,0,0.0
Iowa,IA,Appanoose,19007,Republican,Ted Cruz,269,0.32
Iowa,IA,Appanoose,19007,Republican,Donald Trump,292,0.348
Iowa,IA,Appanoose,19007,Republican,Ben Carson,92,0.11
Iowa,IA,Appanoose,19007,Republican,Marco Rubio,90,0.107
Iowa,IA,Appanoose,19007,Republican,Mike Huckabee,44,0.052000000000000005
Iowa,IA,Appanoose,19007,Republican,Rand Paul,20,0.024
Iowa,IA,Appanoose,19007,Republican,Jeb Bush,13,0.015
Iowa,IA,Appanoose,19007,Republican,Carly Fiorina,9,0.011000000000000001
Iowa,IA,Appanoose,19007,Republican,Chris Christie,4,0.005
Iowa,IA,Appanoose,19007,Republican,John Kasich,4,0.005
Iowa,IA,Appanoose,19007,Republican,Rick Santorum,2,0.002
Iowa,IA,Appanoose,19007,Democrat,Hillary Clinton,273,0.547
Iowa,IA,Appanoose,19007,Democrat,Bernie Sanders,226,0.45299999999999996
Iowa,IA,Appanoose,19007,Democrat,Martin O'Malley,0,0.0
Iowa,IA,Appanoose,19007,Democrat, Uncommitted,0,0.0
Iowa,IA,Audubon,19009,Republican,Ted Cruz,135,0.361
Iowa,IA,Audubon,19009,Republican,Donald Trump,99,0.265
Iowa,IA,Audubon,19009,Republican,Marco Rubio,56,0.15
Iowa,IA,Audubon,19009,Republican,Ben Carson,33,0.08800000000000001
Iowa,IA,Audubon,19009,Republican,Mike Huckabee,20,0.053
Iowa,IA,Audubon,19009,Republican,Rand Paul,11,0.028999999999999998
Iowa,IA,Audubon,19009,Republican,Jeb Bush,10,0.027000000000000003
Iowa,IA,Audubon,19009,Republican,John Kasich,5,0.013000000000000001
Iowa,IA,Audubon,19009,Republican,Carly Fiorina,4,0.011000000000000001
Iowa,IA,Audubon,19009,Republican,Chris Christie,1,0.003
Iowa,IA,Audubon,19009,Republican,Rick Santorum,0,0.0
Iowa,IA,Audubon,19009,Democrat,Hillary Clinton,187,0.625
Iowa,IA,Audubon,19009,Democrat,Bernie Sanders,112,0.375
Iowa,IA,Audubon,19009,Democrat,Martin O'Malley,0,0.0
Iowa,IA,Audubon,19009,Democrat, Uncommitted,0,0.0
Iowa,IA,Benton,19011,Republican,Ted Cruz,596,0.365
Iowa,IA,Benton,19011,Republican,Donald Trump,410,0.251
Iowa,IA,Benton,19011,Republican,Marco Rubio,246,0.15
Iowa,IA,Benton,19011,Republican,Ben Carson,171,0.105
Iowa,IA,Benton,19011,Republican,Rand Paul,72,0.044000000000000004
Iowa,IA,Benton,19011,Republican,Carly Fiorina,35,0.021
Iowa,IA,Benton,19011,Republican,Mike Huckabee,34,0.021
Iowa,IA,Benton,19011,Republican,John Kasich,27,0.017
Iowa,IA,Benton,19011,Republican,Chris Christie,23,0.013999999999999999
Iowa,IA,Benton,19011,Republican,Jeb Bush,11,0.006999999999999999
Iowa,IA,Benton,19011,Republican,Rick Santorum,9,0.006
Iowa,IA,Benton,19011,Democrat,Hillary Clinton,672,0.56
Iowa,IA,Benton,19011,Democrat,Bernie Sanders,528,0.44
Iowa,IA,Benton,19011,Democrat,Martin O'Malley,0,0.0
Iowa,IA,Benton,19011,Democrat, Uncommitted,0,0.0
Iowa,IA,Black Hawk,19013,Republican,Ted Cruz,1585,0.268
Iowa,IA,Black Hawk,19013,Republican,Marco Rubio,1551,0.262
Iowa,IA,Black Hawk,19013,Republican,Donald Trump,1360,0.23
Iowa,IA,Black Hawk,19013,Republican,Ben Carson,497,0.084
Iowa,IA,Black Hawk,19013,Republican,Rand Paul,357,0.06
Iowa,IA,Black Hawk,19013,Republican,Jeb Bush,178,0.03
Iowa,IA,Black Hawk,19013,Republican,Carly Fiorina,131,0.022000000000000002
Iowa,IA,Black Hawk,19013,Republican,Chris Christie,104,0.018000000000000002
Iowa,IA,Black Hawk,19013,Republican,Mike Huckabee,72,0.012
Iowa,IA,Black Hawk,19013,Republican,John Kasich,53,0.009000000000000001
Iowa,IA,Black Hawk,19013,Republican,Rick Santorum,20,0.003
Iowa,IA,Black Hawk,19013,Democrat,Hillary Clinton,3220,0.467
Iowa,IA,Black Hawk,19013,Democrat,Bernie Sanders,3647,0.529
Iowa,IA,Black Hawk,19013,Democrat,Martin O'Malley,16,0.002
Iowa,IA,Black Hawk,19013,Democrat, Uncommitted,16,0.002
Iowa,IA,Boone,19015,Republican,Ted Cruz,566,0.322
Iowa,IA,Boone,19015,Republican,Donald Trump,412,0.23399999999999999
